idioma,slug,titulo,url_producto,url_brochure_completa,brochure_existe,estado
es,20-40-12pins-triaxle-esp,"20/40' 12 Pins Triaxle Container Chassis (ESP)",https://americanchassisdepot.com/es/products/20-40-12pins-triaxle-esp,https://americanchassisdepot.com/brochures/es/20-40-12pins-triaxle-esp.pdf,SI,OK
es,20-40-45-combo-tandem-esp,"20/40/45 Combo Tandem",https://americanchassisdepot.com/es/products/20-40-45-combo-tandem-esp,https://americanchassisdepot.com/brochures/es/20-40-45-combo-tandem-esp.pdf,SI,OK
es,20-40-45-extendable-triaxle-esp,"20/40/45 Extensible Triaxle",https://americanchassisdepot.com/es/products/20-40-45-extendable-triaxle-esp,https://americanchassisdepot.com/brochures/es/20-40-45-extendable-triaxle-esp.pdf,SI,OK
es,20ft-iso-tank-container-chassis-esp,"20ft ISO Tank Container Chassis (ESP)",https://americanchassisdepot.com/es/products/20ft-iso-tank-container-chassis-esp,https://americanchassisdepot.com/brochures/es/20ft-iso-tank-container-chassis-esp.pdf,SI,OK
es,20-flushback-chassis-esp,"20′ Flushback Chassis",https://americanchassisdepot.com/es/products/20-flushback-chassis-esp,https://americanchassisdepot.com/brochures/es/20-flushback-chassis-esp.pdf,SI,OK
es,33-slider-triaxle-esp,"33' SLIDER TRI-AXLE CONTAINER CHASSIS (ESP)",https://americanchassisdepot.com/es/products/33-slider-triaxle-esp,https://americanchassisdepot.com/brochures/es/33-slider-triaxle-esp.pdf,SI,OK
es,40-gooseneck-esp,"40' GOOSENECK CONTAINER CHASSIS (ESP)",https://americanchassisdepot.com/es/products/40-gooseneck-esp,https://americanchassisdepot.com/brochures/es/40-gooseneck-esp.pdf,SI,OK
es,40-lightweight-four-axle-esp,"40' LIGHTWEIGHT FOUR-AXLE CHASSIS (ESP)",https://americanchassisdepot.com/es/products/40-lightweight-four-axle-esp,https://americanchassisdepot.com/brochures/es/40-lightweight-four-axle-esp.pdf,SI,OK
es,40-45-extendable-container-chassis-esp,"40/45 Extensible Tandem",https://americanchassisdepot.com/es/products/40-45-extendable-container-chassis-esp,https://americanchassisdepot.com/brochures/es/40-45-extendable-container-chassis-esp.pdf,SI,OK
es,40-45-48-53-extendable-triaxle-esp,"40/45/48/53 Extensible Triaxle",https://americanchassisdepot.com/es/products/40-45-48-53-extendable-triaxle-esp,https://americanchassisdepot.com/brochures/es/40-45-48-53-extendable-triaxle-esp.pdf,SI,OK
es,40ft-gooseneck-lightweight-esp,"40ft Gooseneck Lightweight",https://americanchassisdepot.com/es/products/40ft-gooseneck-lightweight-esp,https://americanchassisdepot.com/brochures/es/40ft-gooseneck-lightweight-esp.pdf,SI,OK
es,40ft-gooseneck-triaxle-esp,"40ft Gooseneck Triaxle",https://americanchassisdepot.com/es/products/40ft-gooseneck-triaxle-esp,https://americanchassisdepot.com/brochures/es/40ft-gooseneck-triaxle-esp.pdf,SI,OK
es,40-gn-lightweight-4-axles-esp,"40′ GN Lightweight – 4 Ejes",https://americanchassisdepot.com/es/products/40-gn-lightweight-4-axles-esp,https://americanchassisdepot.com/brochures/es/40-gn-lightweight-4-axles-esp.pdf,SI,OK
es,40-gn-tandem-esp,"40′ GN Tandem",https://americanchassisdepot.com/es/products/40-gn-tandem-esp,https://americanchassisdepot.com/brochures/es/40-gn-tandem-esp.pdf,SI,OK
es,40ft-gooseneck-genset-esp,"40′ GN con Genset",https://americanchassisdepot.com/es/products/40ft-gooseneck-genset-esp,https://americanchassisdepot.com/brochures/es/40ft-gooseneck-genset-esp.pdf,SI,OK
es,45ft-multimodal-esp,"45ft MULTIMODAL CHASSIS (ESP)",https://americanchassisdepot.com/es/products/45ft-multimodal-esp,https://americanchassisdepot.com/brochures/es/45ft-multimodal-esp.pdf,SI,OK
es,53-gooseneck-slider-tandem-esp,"53 Gooseneck Slider Tandem",https://americanchassisdepot.com/es/products/53-gooseneck-slider-tandem-esp,https://americanchassisdepot.com/brochures/es/53-gooseneck-slider-tandem-esp.pdf,SI,OK
es,53-gn-tandem-intermodal-esp,"53′ GN Tandem Intermodal",https://americanchassisdepot.com/es/products/53-gn-tandem-intermodal-esp,https://americanchassisdepot.com/brochures/es/53-gn-tandem-intermodal-esp.pdf,SI,OK
es,20ft-container-chassis-2-axles-esp,"Chasis Contenedor 20ft – 2 Ejes",https://americanchassisdepot.com/es/products/20ft-container-chassis-2-axles-esp,https://americanchassisdepot.com/brochures/es/20ft-container-chassis-2-axles-esp.pdf,SI,OK
